MOT CLe;Description;cat3;cat1;cat2;CATEGORISATION;Service Libelle d'affichage / Impactant;Causalite;Tag+E:ED:IJ30F:IC:IB:I;SUPPORT;PRIORISATION;CAS;Autonomie;DATE CREATION;PM;Msg spe;Lien;POPUP ajout;Mess_axis;Impacté;Categorisation Service impacte ;KM;GROUPE EXPERT
DEMANDE BLOCAGE TOUCHE EN CAISSE;Le magasin demande a bloquer une touche en caisse;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;PROCESS VLP;Il faut indiquer au magasin qu'on ne peut pas bloquer les touches sur l'IHM caisse;P4;SYM0427; ;12/12/2022; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;; 
CONNECS : carte de domiciliation ;CONNECS : carte de domiciliation ; ;Monetique;Infra banque;Monetique \ Infra banque;INFRA_BANQUE-FR;05 - Demande de service;CONNECS : carte de domiciliation ;Rediriger auprès du CSI;P3;SYM0428; ;22/12/2022; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;;Conseiller de franchise
PROCESS VLP : Recherche ticket;Recherche ticket par moyen de paiement ;Edition;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Edition;VLP PROXI-FR;05 - Demande de service;PROCESS VLP : Recherche ticket;SUR VLP : Journaux de caisse ==> Journaux de règlement ==> Indication au client  ;P3;SYM0430; ;13/12/2022; ; ;http://sym-90065/encaissement/PRODIM/?q=49810049; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Edition;49810049;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
DEMANDE L ABANDON D UN TICKET EN COURS SUR LA CAISSE;Le magasin nous contact car il souhaite abandonner un ticket en cours sur la caisse;Edition;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Edition;VLP PROXI-FR;04 - Manque de formation utilisateur;PROCESS VLP;fonction 311;P4;SYM0431; ;13/12/2022; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Edition;51348924;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
SOUHAITE AVOIR LA LISTE DES CARTES FIDELITE PASSEES EN CAISSE;Le magasin nous contact car il souhaite avoir le listing des cartes fidelites;Cagnotte fidelite;Monetique ;Moyen de paiement;Monetique \ Moyen de paiement \ Cagnotte fidelite;CLL PROXI-FR;05 - Demande de service;FIDELITE : Cagnote;Rediriger le magasin vers sont antenne régional fidélité;P3;SYM0432; ;13/12/2022; ; ; ; ; ;CLL PROXI-FR;Monetique \ Moyen de paiement \ Cagnotte fidelite;;FR IT CHAPSVISION N2 CLL PROXIMITE
CONFIG : Imprimante Bureau;Les factures  s'impriment automatiquement en recto verso ;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;CONFIG : Imprimante Bureau;Modification dans les proprietes de l'imprimante sur la VM1.;P3;SYM0433; ;13/12/2022; ; ;http://sym-90065/encaissement/PRODIM/?q=50496738; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;50496738;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CHARGEMENT CAISSE : Erreur piste Audit;Message d’erreur Anomalie d'ecriture dans la piste audit, operations abandonnees.;Reseau;Encaissement;Caisse deconnecte;Encaissement \ Caisse deconnecte \ Reseau;VLP PROXI-FR;01 - Défaillance applicative;CHARGEMENT CAISSE : Erreur piste Audit;supprimer le fichier VLPsignaturedata.xml puis les bat 900 puis 904 (le 904 recupère plusieurs fichiers notamment le fichier VLPsignaturedata.xml);P3;SYM0434; ;29/12/2022; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse deconnecte \ Reseau;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
LENTEUR LORS DES REQUETES FIDELITE;Lenteur au niveau de la requete fidelite , elle dure plusieurs seconde;Cagnotte fidelite;Monetique ;Moyen de paiement;Monetique \ Moyen de paiement \ Cagnotte fidelite;INFRA_PROXIMITE-FR;02 - Défaillance de l'infrastructure;FIDELITE : Lenteur;Se connecter sur la caisse pour constater le problème. Faire un ping de la caisse pour vérifier l'état. Vérifier la référence fidélité (process vérification fid);P4;SYM0435; ;29/12/2022; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
CREDIT CLIENT ANONYME EFFECTUE PAR ERREUR SUR UNE CAISSE;Credit client anonyme effectue par erreur sur une caisse;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;04 - Manque de formation utilisateur;PROCESS VLP : Formation utilisateur;Si il y a eu un credit client anonyme accorde en caisse il faut faire un credit client rembourse pour annuler l'erreur;P3;SYM0436; ;29/12/2022; ;FU; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
DEMANDE REMISE A L HEURE SERVEUR;Demande de modification des heures;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;SERVEUR : Modification heure / jour / annee;Sur le serveur.;P3;SYM0438; ;03/01/2022; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
PROCESS VLP : Edition facture deportees;Edition facture deportees;Facture tardive;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Facture tardive;VLP PROXI-FR;05 - Demande de service;PROCESS VLP : Edition facture deportees.;Fiche process;P3;SYM0440; ;12/01/2023; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Facture tardive;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
HORS PERIMETRE;N'a pas les identifiants pour l'application fidelite.;Application;Fidelite;Acces;Fidelite \ Acces \ Application;SIEBEL FIDELITE-FR;05 - Demande de service;HORS PERIMETRE;HORS PERIMETRE SUPPORT, redirection du magasin vers le service fidélité Carrefour au 08 26 82 68 19;P3;SYM0441; ;18/01/2023; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
PARAMETRAGE CONSIGNE;Lors du scan d'un article, la consigne ne s'applique pas correctement;Referentiel;Back Office Proximite;Article;Back Office Proximite \ Article \ Referentiel;METI STORE-FR;05 - Demande de service;PARAMETRAGE CONSIGNE;Vérification article consigne dans la base VLP;P3;SYM0443; ;09/02/2023; ; ;; ; ;METI STORE-FR;Back Office Proximite \ Article \ Referentiel;;FR IT SIC N1_N2_MAGASINS_PROXI
TICKET Z NE SONT PAS RESSORTIS LORS DU DEPART LONG;les tickets ne sont pas sorti au depart long;Edition;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Edition;VLP PROXI-FR;04 - Manque de formation utilisateur;VLP : Ticket;impression depuis la bande de controle OK;P3;SYM0444; ;09/02/2023; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Edition;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
SOUHAITE RETROUVER UN ETAT SUR VLP;Souhaite retrouver un etat dans VLP;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;04 - Manque de formation utilisateur;VLP : Formation;explication sur la liste MDR ;P3;SYM0527; ;23/02/2023; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
PARAMETRAGE IMPRESSION AUTOMATIQUE TICKET DE CAISSE VLP;Le PDV indique qu'il y a des tickets qui sortent automatiquement lorsqu'un client prend des fruits/legumes par exemple. Voir article 43517485 sur CARE;Edition;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Edition;VLP PROXI-FR;08 - Matériel défectueux;VLP Caisse : Impression ticket;Il n'est pas possible de modifier ce paramétrage car c'est la loi. Lorsque le ticket de caisse ou la facture est imprimée par un instrument de pesage à fonctionnement automatique l'impression du ticket de caisse est obligatoire.;P2;SYM0530; ;16/03/2023; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Edition;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
TPE : TERMINAL INCONNU / Commerçant invalide;TPE : TERMINAL INCONNU / Commerçant invalide;Parametrage;Monetique;TPE;Monetique \ TPE \ Parametrage;AXIS-FR;01 - Défaillance applicative;TPE : TERMINAL INCONNU / Commerçant invalide;Verification du VLeposMoneyConfig.xml qui doit contenir le code anabel du PDV dans l'ID / pour les nouveaux magasins le code anabel est de forme Alpha-numérique. L'ID doit être obligatoirement numérique dans le fichier VLeposMoneyConfig.xml, donc pour ces magasins il faut renseigner le code monétique (qui apparaît tout en bas dans les informations magasin sous vlp);P1;SYM0533; ;28/03/2023; ; ; ; ;1;AXIS-FR;Monetique \ Moyen de paiement \ Dematerialise;; 
VLP CAISSE : LENTEUR;Caisse lente;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;01 - Défaillance applicative;VLP CAISSE : LENTEUR;Reboot = NOK CHKDSK /f /r si OK à clore, Si KO => DI UC ;P3;SYM0534; ;21/05/2023; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLP CAISSE : Messagerie MAJ;bloquee sur messagerie mise a jour 1 ;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;01 - Défaillance applicative;VLP CAISSE : Messagerie MAJ;Verification Imprimante relance encaissement OK;P3;SYM0535; ;21/05/2023; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VERIFICATION SERVEUR;nous demande verifier que tout le CA est OK suite a une coupure ;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;VERIFICATION SERVEUR;Verifications de l'etat serveur et des caisses ;P3;SYM0536; ;21/05/2023; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
TPE : Decagnottage impossible. ;TPE : Decagnottage impossible. ;Parametrage;Monetique;TPE;Monetique \ TPE \ Parametrage;AXIS-FR;01 - Défaillance applicative;TPE : Decagnottage impossible. ;Recuperation des logs et envoi a WorldLine;P3;SYM0537; ;21/05/2023; ; ; ; ;1;AXIS-FR;Monetique \ TPE \ Parametrage;; 
SERVEUR : Surveillance;Surveillance serveur KO;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;SERVEUR : Surveillance;Redemarrage service TELEM KO ping OK redemarrage VM1 OK;P2;SYM0538; ;21/05/2023; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLP CAISSE : BADGE RESPONSABLE;Ne peux plus faire de remise sans devoir mettre le badge responsable. Le caissier est bien un responsable;Parametrage caissier;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caissier;VLP PROXI-FR;01 - Défaillance applicative;VLP CAISSE : BADGE RESPONSABLE;Depart coupure + reidentification = OK ;P3;SYM0541; ;21/05/2023; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caissier;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
DEMANDE A QUOI CORRESPOND LES ARTICLES GRATUITS SUR LE FINANCIER VLP;article gratuit sur etat vlp (a quoi correspond article gratuit sur etat financier stastique).;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;04 - Manque de formation utilisateur;VLP : Formation;Article gratuit correspond à des coupons fidélité à 0 passer avec un gencode, consultable sur la bande de contrôle effectuant une recherche sur coupon.;P3;SYM0543; ;22/08/2023; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
VLP : LANCEMENT CLOTURE;Modification heure de lancement automatique de la cloture ; ;Encaissement;Cloture;Encaissement \ Cloture;VLP PROXI-FR;04 - Manque de formation utilisateur;VLP : LANCEMENT CLOTURE;Accompagner le client en expliquant comment procéder via le menu VLP dédié;P3;SYM0544; ;13/10/2023; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Cloture \ Cloture non lancee;51336030;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
FIDELITE : Solde à zéro;Probleme avec les primes de certains clients ==> leur solde a 0;Cagnotte fidelite;Monetique ;Moyen de paiement;Monetique \ Moyen de paiement \ Cagnotte fidelite;STAC-FR;04 - Manque de formation utilisateur;FIDELITE : Solde à zéro;Redirigé à cette adresse mail : Carte_carrefour@carrefour.com;P3;SYM0545; ; ; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;; 
Ingénico : Accès Eportal;pb d’acces au Eportal WorldLine ;Droit applicatif manquant;Bureautique;Application / Logiciel / Système d'exploitation;Monetique \ E-portal;AXIS-FR;05 - Demande de service;Ingénico : Accès Eportal;Si pb d’accès au Eportal WorldLine è Envoie vers la bureautique pour contrôle du raccourcie (le bon liens : https://carrefour-eportal.services.ingenico.com/home/);P3;SYM0546; ;04/12/2023; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;;FR IT SIC N1 BUREAUTIQUE
TSE KO : COMPTE BLOQUE CAR TROP DE TENTATIVE MDP;TSE bloque suite plusieurs tentatives de connexion;Connexion/mdp;Encaissement;Acces;Encaissement\Acces\Connexion/mdp;VLP PROXI-FR;01 - Défaillance applicative;TSE KO : COMPTE BLOQUE CAR TROP DE TENTATIVE MDP;"Déblocage du compte TSE via les propriétés ""Computer Management""";P2;SYM0549; ;25/03/2024; ; ;http://sym-90065/encaissement/PRODIM/?q=COMPTE TSE DÉSACTIVÉ; ; ;VLP PROXI-FR;Encaissement \ Acces \ Connexion / mot de passe;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
FIDELITE : Création carte fidélité;Pb de creation carte de fidelite;Application;Fidelite;Acces;Fidelite \ Acces \ Application;SIEBEL FIDELITE-FR;01 - Défaillance applicative;FIDELITE : Création carte fidélité;"Le support n'a pas la main pour pouvoir vous aidez sur votre demande, vous pouvez contacter directement le support Tessi : sav_tms@tessi.fr ou  contacter les personnes ci-dessous si le problème réapparaît.
Nous vous remercions pour votre compréhension quant au délai de traitement de votre ticket.";P3;SYM0550; ;05/04/2024; ; ; ; ; ;SIEBEL FIDELITE-FR;Fidelite \ Acces \ Application;; 
BALANCE : Demande KBIS;Doit fournir le KBIS a Berkel ;Balance;Encaissement;Parametrage peripherique caisse;Encaissement \ Parametrage peripherique caisse \ Balance;MATERIEL_BALANCES-FR;08 - Matériel défectueux;MATERIEL;"Indiquer  HP SYMAG, merci de voir avec la mag ou Amine BOUDROUA et Alexis SAUDAN Run Managers ""Stream 4"" puis l'escalader dans la banette BERKEL";P3;SYM0552; ;24/04/2024; ; ; ; ; ;MATERIEL_BALANCES-FR;Encaissement \ Parametrage peripherique caisse \ Balance;52788648; 
VLP : Expiration des tickets restaurant;En fin de mois, d'une annee sur l'autre la date de validite des tickets restaurant papier est amene a changer. Demande changement date de validite; ;Encaissement;Serveur caisse;Encaissement \ Serveur caisse;VLP PROXI-FR;05 - Demande de service;VLP : Expiration des tickets restaurant;Connnexion VLP;P3;SYM0554; ;29/05/2024; ; ;http://sym-90065/encaissement/PRODIM/?q=50609448; ; ;VLP PROXI-FR;Encaissement \ Acces \ Connexion / mot de passe;50609448;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
FIDELITE : Code carte en erreur;Le magasin vous appelle car il n'arrive pas a modifier le code de la carte fid; ;Encaissement; ;Encaissement;ADHESION FIDELITE-FR;01 - Défaillance applicative;FIDELITE : Code carte en erreur;Contacter l'utilisateur pour lui rappeler de se rapprocher du partenaire TESSI  - Voir fiche support;P3;SYM0555; ;29/05/2024; ; ;http://sym-90065/encaissement/PRODIM/?q=48486307; ; ;AXIS-FR;Monetique \ Moyen de paiement \ Cagnotte fidelite;48486307;A cloturer avec le contact support
TSE KO : ECRAN NOIR LORS DE LA CONNEXION;Ecran noir lors de la connexion a VLP via la session TSE;Connexion/mdp;Encaissement;Acces;Encaissement\Acces\Connexion/mdp;VLP PROXI-FR;01 - Défaillance applicative; ;Logoff de la session TSE via le gestionnaire de tâche -> Users -> TSE -> Logoff. Ce problème apparaît quand la session VLP n'a pas été fermée proprement en utilisant l'icône windows en bas à gauche de la session VLP et LOG OFF TSE;P3;SYM0579; ;03/10/2024; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Acces \ Connexion / mot de passe;; 
PING OK - TELEMAINTENANCE KO (Connexion impossible à la caisse);Ping OK - Telemaintenance KO ;UC caisse;Encaissement;Parametrage peripherique caisse;Encaissement\Parametrage peripherique caisse\UC caisse;INFRA_PROXIMITE-FR;02 - Défaillance de l'infrastructure;PING OK - TELEMAINTENANCE KO (Connexion impossible à la caisse); - Reboot de la caisse / Faire la commande dos - arp -a pour contrôler l'adresse MAC sur le serveur. Si les 4 premiers caractères de l'adresse MAC sont différents entre les caisses, il y a un conflit d'IP entre un équipement caisse et un autre équipement;P3;SYM0580; ;17/10/2024; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Parametrage peripherique caisse \ UC caisse;;FR IT SIC N1_N2 RESEAU
PRIX ARTICLE NON A JOUR SUR LA CAISSE;Le prix de l'article ne correspond pas au prix qu'il y a sur le serveur VLP dans la base article;Prix errone;Encaissement;Article;Encaissement \ Article \ Prix errone;VLP PROXI-FR;02 - Défaillance de l'infrastructure;PRIX ARTICLE NON A JOUR SUR LA CAISSE;Forcer la messagerie caisse en utilisant la fonction 37 en caisse. Si le prix ne se met pas à jour il faut recharger la caisse via un chargement long;P3;SYM0581; ;22/10/2024; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Article \ Prix errone;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
LORS DE L'APPUIE SUR TOTAL LE DERNIER ARTICLE EST DOUBLE;Lors de l'appuie sur total le dernier article scanne apparait en double;Parametrage;Encaissement;Article;Encaissement \ Article \ Parametrage;VLP PROXI-FR;01 - Défaillance applicative;LORS DE L'APPUIE SUR TOTAL LE DERNIER ARTICLE EST DOUBLE;Faire une relance de session pour recharger proprement l'encaissement;P3;SYM0582; ;22/10/2024; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Article \ Parametrage;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
SOUHAITE DESACTIVER LES EDITIONS AUTOMATIQUE DE CLOTURE;Le magasin souhaite desactiver l'impression automatique des editons de cloture VLP;Edition;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Edition;VLP PROXI-FR;05 - Demande de service;SOUHAITE DESACTIVER LES EDITIONS AUTOMATIQUE DE CLOTURE;Aller dans VLCLOTURE puis paramétrage impression. Il faut passer de F à N tous les champs dans la colonne PERIODE 1;P3;SYM0583; ;04/11/2024; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Edition;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
N'A PLUS LE RACCOUCIS VLP SUR SON POSTE BUREAUTIQUE;Le magasin n'a plus son raccourcis VLP sur son poste bureautique;Connexion / mot de passe;Encaissement;Acces;Encaissement \ Acces \ Connexion / mot de passe;VLP PROXI-FR;05 - Demande de service;N'A PLUS LE RACCOUCIS VLP SUR SON POSTE BUREAUTIQUE;Vérifier dans la corbeille si le raccoucis n'a pas été supprimé. Si c'est le cas il faut simplement restaurer le raccourcis;P3;SYM0584; ;04/11/2024; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Acces \ Connexion / mot de passe;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
MESSAGE AUTOIT ERROR LORS DU LANCEMENT DE VLP OU LANCEMENT SESSION;"Lors du lancement de VLP ou au lancement de la session, le message ""autoit error"" apparait indiquant que la ligne 1 contient ex";Connexion / mot de passe;Encaissement;Acces;Encaissement \ Acces \ Connexion / mot de passe;VLP PROXI-FR;01 - Défaillance applicative;MESSAGE AUTOIT ERROR LORS DU LANCEMENT DE VLP OU LANCEMENT SESSION;"Il faut aller dans le fichier indiqué (chemin présent dans le message d'erreur) et supprimer les lettres ""EX"" du fichier qui se trouve soit au début soit à la fin.";P3;SYM0585; ;13/11/2024; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Acces \ Connexion / mot de passe;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
IMPOSSIBLE DE SE CONNECTER A VLP, LE MOT DE PASSE NE FONCTIONNE PAS;Lorsque le magasin rentre son mot de passe sur VLP celui-ci est refuse;Connexion / mot de passe;Encaissement;Acces;Encaissement \ Acces \ Connexion / mot de passe;VLP PROXI-FR;05 - Demande de service;IMPOSSIBLE DE SE CONNECTER A VLP, LE MOT DE PASSE NE FONCTIONNE PAS;"D:\POS\Vlprojet\VLP58\Admin. lancement de admin.exe. sélectionner standard dans le menue déroulant 5.8. mettre le mdp de la semaine dans mdp administrateur. Sélectionner exploitant puis exp puis utilisateur et modifier un utilisateur. changer le mdp en mettant exp dans le champ mdp; Valider et faire teser par le mag.";P3;SYM0586; ;14/11/2024; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Acces \ Connexion / mot de passe;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
DEMANDE DE CHANGEMENT DU FOND INITIAL PAR DEFAUT;Le magasin souhaite modifier le fond initial par defaut a l'ouverture des caisses le matin;Parametrage moyen de paiement;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage moyen de paiement;VLP PROXI-FR;05 - Demande de service;DEMANDE DE CHANGEMENT DU FOND INITIAL PAR DEFAUT;Envoyer un mail au technicien de nuit afin qu'il fasse la modification sur VLP -> Liste des moyens de paiement / espèce pour le changement;P3;SYM0587; ;29/11/2024; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage moyen de paiement;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
IMPOSSIBLE DE S'IDENTIFIER EN CAISSE CAR CAISSIER DÉJÀ EN SERVICE;"Lorsque le magasin souhaite identifier un caissier, la caisse affiche ""Deja en service""";Parametrage caissier;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caissier;VLP PROXI-FR;05 - Demande de service; ;Il faut vérifier si le caissier qui est en train de s'identifier n'est pas déjà identifier sur une autre caisse. Une caisse peut être déconnectée lors d'un départ ne changeant pas le statut sur VLP.;P4;SYM0588; ;16/12/2024; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caissier;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CAISSE FIGÉE (Ne Réagit plus);Caisse figee en pause ou ne reagit plus;Caisse bloquee;Encaissement;Encaissement fige;Encaissement \ Caisse bloquee \ Encaissement fige;VLP PROXI-FR;01 - Défaillance applicative; ;Relance de l'encaissement ;P4;SYM0589; ;27/12/2024; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Caisse bloquee \ Encaissement fige;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CLLEmbeded KO ;Le service CLLEmbeded est en erreur ;Cagnotte fidelite;Monetique;Moyen de paiement ;Monetique \ Moyen de paiement \ Cagnotte fidelite;VLP PROXI-FR;01 - Défaillance applicative; ;970.bat ;P4;SYM0590; ;27/12/2024; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
ECRAN TACTILE NE REAGIT PAS ;Le tactile de l'ecran ne reagit plus mais en telemaintenance nous pouvons quand meme utiliser la caisse;Caissière;Materiel Caisse;Ecran;Materiel Caisse \ Ecran \ Caissiere;MATERIEL_CAISSE-FR;08 - Matériel défectueux; ;Reboot de la caisse pour que le tactile refonctionne;P4;SYM0591; ;06/01/2025; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ Ecran caissiere \ Reparation / Remplacement;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
LA LISTE DES ARTICLES ELIGIBLE EN TICKET RESTAURANT A ÉTÉ SUPPRIMEE;Le magasin nous contact car il a supprime par erreur la liste d'eligibilite des articles pour les tickets restaurants ;Parametrage;Encaissement;Article;Encaissement \ Article \ Parametrage;VLP PROXI-FR;05 - Demande de service; ;Il faut arrêter les services sur le serveur puis récupérer les bases LAELIG0.DBF et LAELIG1.DBF du dossier J-1 (D:\POS\Vlprojet\Pdv\Donnees\JourJ-1\BaseVlp) et mettre ces bases dans le dossier JourJ (D:\POS\Vlprojet\Pdv\Donnees\JourJ\BaseVlp). Ensuite il faut faire une réindexation des bases VLP et vérifier que c'est OK;P4;SYM0592; ;09/01/2025; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Article \ Parametrage;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
DEMANDE DE MODIFIER DES INFORMATIONS SUR LES TICKETS DE CAISSE;Le magasin nous contact pour modifier le numero de telephone ou une autre information sur les tickets de caisse;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service; ;Il faut modifier les informations sur VLP dans parametre magasin pour que ce soit effectif sur les tickets de caisse;P4;SYM0593; ;14/01/2025; ; ; ; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
TRAVAUX SUR BAIE DE BRASSAGE;TRAVAUX SUR BAIE DE BRASSAGE de nuit ;Hardware;Infrastructure;Server;Infrastructure \ Hardware \ Server;INFRA_PROXIMITE-FR;05 - Demande de service; ; ;P4;SYM0594; ;15/01/2025; ; ; ; ; ;INFRA_PROXIMITE-FR;Infrastructure \ Hardware \ Server;; 
CARTE FIDELITE INACTIVE LORS DU PASSAGE EN CAISSE;"Le magasin nous contact car lors du passage de la carte fidelite d'un client, le message ""carte inactive"" apparait "; ; ; ; ;SIEBEL FIDELITE-FR;05 - Demande de service; ;Il faut dans un premier temps vérifier si la carte est OK côté Siebel. Si c'est OK de leur côté, le ticket peut être escaladé à Chapsvision N2 CLL pour vérification côté CLL et envoie à UNICA si besoin;P4;SYM0595; ;17/01/2025; ; ; ; ; ;SIEBELFIDELITE-FR;Fidelite \ Fidelite \ Attribution avantage cagnotte;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CLIENT REVIENT EN MAGASIN CAR CARTE CADEAU NON ACTIVEE;Le magasin nous contact car la carte cadeau n'est pas activee; ; ; ; ;AXIS-FR;05 - Demande de service; ;Il faut prendre les informations de la carte et escalader à EPAY pour vérification de leur côté;P4;SYM0596; ;17/01/2025; ; ; ; ; ;AXIS-FR;Monetique \ Moyen de paiement \ Dematerialise;; 
